model,n_labels,mean_error,std_error,residual_x,residual_y,train_seconds
pinn,0,1.3922182631486502,0.17402675429321826,0.1472947973943525,0.14273147947313145,6.7287280553330975
pinn,10,1.279118528082533,0.08548546578763012,0.17998941075797,0.17566872845996503,6.803938388708048
plain,10,21.39939075816928,1.2377528953340884,4.162594707847677,9.484428729441047,0.44783351399625343
pinn,20,0.8925219585540711,0.10380115331240236,0.15992432220779437,0.15346272930424346,6.736753236036748
plain,20,14.995237089608606,0.5362216431593704,8.764093859998505,10.172672254960336,0.4909191666714226
pinn,50,0.7416924364384707,0.04445755985940126,0.156104715094001,0.15540837186866488,6.945183832974483
plain,50,7.9253668149609,0.7355578898631177,5.590564523325607,8.576494726768042,0.5404681663106506
pinn,100,0.545737999696955,0.07079367137890837,0.14168955983126233,0.14899150658129276,6.378306680669387
plain,100,3.73893555839815,0.13108991978781667,4.109744541132106,6.369281796909448,0.7128555279923603
pinn,200,0.5483878670739696,0.08580115598752248,0.1389793394413544,0.14337324192424075,7.159068388670373
plain,200,0.8112873031371048,0.03268363904734685,1.7195965082862081,2.9406148492655735,1.274403930680516
pinn,500,0.46559101011101717,0.05286845571046647,0.14086053074221086,0.13367236764614335,10.616902958019637
plain,500,0.566720279577538,0.10709874480518615,1.4179657811954514,2.2047264962940685,3.9585971666965634
pinn,2000,0.42880981245636135,0.04732802005283108,0.13381689333053648,0.13269749242863704,20.129928916692734
plain,2000,0.3644409559688864,0.05989596875105561,1.2047025255626955,1.9684788293765758,8.903842249691175
