regime,note,model,model_label,rmse_x,rmse_y,mae_x,mae_y,r2_x,r2_y,mean_radial,median_radial,p95_radial,max_radial
interpolation,"control: same region as training, unseen rows",linear,Linear Regression,9.78645207208885,9.50127393280944,7.192473469416465,7.11583220769832,0.903504851268099,0.5477812510438653,11.184018729419392,8.705026831443394,27.026652829350805,48.62492443429377
interpolation,"control: same region as training, unseen rows",poly2,Polynomial Ridge (deg 2),1.980303823915658,1.5771311406626338,1.4103929549625824,1.1448293363949402,0.9960488948745047,0.9875399295094169,1.97411830395169,1.5059534650473743,5.109858039696772,11.939945508078312
interpolation,"control: same region as training, unseen rows",forest,Random Forest,1.4959202985146982,2.3190360021115946,1.063323252436258,1.6400675267217686,0.997745387848744,0.9730598588333061,2.1384338084958525,1.66105414170206,5.507525341428789,12.401581673017633
interpolation,"control: same region as training, unseen rows",mlp,Neural Network (MLP),0.10135830171221871,0.09400256120481573,0.07544272974923945,0.07031278561702463,0.9999896492079596,0.9999557346137203,0.11416047704757093,0.09937548379349675,0.24135959594643946,1.123867904761133
interpolation,"control: same region as training, unseen rows",physics,Physics-Informed Features,1.9675219069759005e-14,5.90675114047117e-14,1.6563784198397878e-14,4.871815451057415e-14,1.0,1.0,5.3951558781226426e-14,4.9483575555996563e-14,1.0713940287005233e-13,1.6633378991627446e-13
extrap_v0_high,faster launches than any seen,linear,Linear Regression,34.29949545479918,25.175094813203607,25.38895527893369,19.516140705909276,0.7222347494470239,0.2356630638110616,36.26392375613815,33.55631981102378,76.21939207311375,131.98748441194678
extrap_v0_high,faster launches than any seen,poly2,Polynomial Ridge (deg 2),8.682922479549687,7.125311451738178,5.733639858097407,5.075665072194715,0.9821994141032269,0.9387719649411324,8.150471709499254,5.686732645823958,24.56191833652311,58.81074359679875
extrap_v0_high,faster launches than any seen,forest,Random Forest,32.31836880444774,24.938521813704888,22.93534561782133,17.793164144733105,0.7533953195810293,0.24996067689002555,31.249971672066664,23.540271324112993,85.18838374301674,132.68097265516067
extrap_v0_high,faster launches than any seen,mlp,Neural Network (MLP),24.612791357659944,16.48696526285477,14.106738558053392,10.27987951358831,0.8569709710531807,0.6721885919230751,18.532266702887352,8.633192015355494,70.20519622246462,127.83802193396681
extrap_v0_high,faster launches than any seen,physics,Physics-Informed Features,4.641508487518613e-14,5.1485158339469943e-14,3.425632000286782e-14,4.041300974422235e-14,1.0,1.0,5.855837459128465e-14,5.123796534383003e-14,1.2169505497811164e-13,2.82266906137925e-13
extrap_v0_low,slower launches than any seen,linear,Linear Regression,14.891328406503913,7.790397409276998,11.584837678316083,6.3246819682328566,-5.559539016765775,-1.7029325820287484,14.843177769640493,13.265746848474867,30.73009235915992,45.583385838900824
extrap_v0_low,slower launches than any seen,poly2,Polynomial Ridge (deg 2),3.613987444406779,3.110442838180349,2.806300430751445,2.312803556819358,0.6136510684523919,0.569115931303776,3.813150348009468,2.743434004329188,9.88644019512066,16.83432831726568
extrap_v0_low,slower launches than any seen,forest,Random Forest,5.319101577764015,5.253023962336891,4.35963022351044,4.125466946832396,0.16308181456976267,-0.22895152173178768,6.197212877724866,5.27256604789174,13.98697245418212,22.395091326466975
extrap_v0_low,slower launches than any seen,mlp,Neural Network (MLP),1.5127929731651741,0.9569760742936533,1.0188572415726131,0.6555972739773269,0.9323036218668602,0.9592133395125325,1.3239325469098575,0.962196824779763,3.750898420811982,6.349750332435075
extrap_v0_low,slower launches than any seen,physics,Physics-Informed Features,2.481887030960881e-14,6.808927692332374e-14,2.4620533042862826e-14,5.848333275992878e-14,1.0,1.0,6.573766843205996e-14,6.16298807497374e-14,1.1611166523437557e-13,1.2647813507202731e-13
extrap_theta_high,"steeper, near-vertical launches",linear,Linear Regression,30.1830116494186,16.005651419550944,23.623252751549888,12.849333441273302,-2.3271597461659415,0.3547766555012969,28.27194117283509,25.641973080617454,64.82574401161668,114.40945503335239
extrap_theta_high,"steeper, near-vertical launches",poly2,Polynomial Ridge (deg 2),8.162263416316758,6.799706410554102,5.438021165791264,5.302096440448028,0.7566845294704287,0.8835488754906811,8.375721007572634,6.673576483460629,20.87172632394891,46.26288293422652
extrap_theta_high,"steeper, near-vertical launches",forest,Random Forest,19.565748453710658,6.2116403282787624,14.360946746244567,4.431351217242172,-0.3981103213552488,0.9028202080194375,15.277788976026255,10.692952240439102,44.04044219681644,74.95225211195164
extrap_theta_high,"steeper, near-vertical launches",mlp,Neural Network (MLP),4.327760309163299,2.6670899809269946,2.1773219871870535,1.5700232847118492,0.9315970377645398,0.9820840971334315,2.8674824863698007,1.2196835509422421,11.913642323751912,35.030816617107476
