orbit,method,max_rel_energy_error,final_rel_energy_error,max_rel_angmom_error
circular orbit (e = 0),euler,0.7979477357146202,0.7979477357146202,1.2176235241855409
circular orbit (e = 0),euler_cromer,0.00024675531332076466,1.2389005269350699e-06,1.0884564909897368e-14
circular orbit (e = 0),verlet,1.521454785931555e-08,2.521555911324129e-12,1.8941970102938278e-14
circular orbit (e = 0),rk4,3.3383269272213405e-08,3.3383269272213405e-08,1.6691634086816212e-08
eccentric orbit (e = 0.6),euler,0.9835229899523641,0.9810733439825509,0.3982822034373657
eccentric orbit (e = 0.6),euler_cromer,0.04337526246721554,1.2422741410124662e-05,1.3075613690461124e-14
eccentric orbit (e = 0.6),verlet,0.001763981830461759,7.677383622982083e-10,2.6681319827832835e-14
eccentric orbit (e = 0.6),rk4,4.1568801622962765e-05,4.1568801618823166e-05,4.616330551215366e-06
