approach,t,mean,q25,q75
A_flow_map,0.296,0.10015750017727418,0.05947858356382187,0.1529154924441168
A_flow_map,0.3,0.10293303805365936,0.060765323584490626,0.15762193132863528
A_flow_map,0.304,0.10575199806432196,0.0620242758112021,0.1624251994293614
A_flow_map,0.308,0.10861456005496369,0.06325174529686367,0.167326891550439
A_flow_map,0.312,0.11152086386763546,0.06444392884514157,0.1723285726541499
A_flow_map,0.316,0.11447100911412136,0.06559694313722306,0.1774317624373621
A_flow_map,0.32,0.11746505538954748,0.06670686143767574,0.18251578692781364
A_flow_map,0.324,0.12050302296909818,0.06776976007390634,0.18701345453530796
A_flow_map,0.328,0.1235848940310906,0.06977001440371712,0.19157072723995144
A_flow_map,0.332,0.12671061443649462,0.07195556017896382,0.19647781207501114
A_flow_map,0.336,0.12988009607115159,0.07480722770134504,0.20205991364275422
A_flow_map,0.34,0.13309321972752788,0.07775995179124194,0.20775069619345832
A_flow_map,0.34400000000000003,0.13634983847507148,0.08081449170505481,0.2135507755119296
A_flow_map,0.34800000000000003,0.13964978145104073,0.08340958031554316,0.21946052601926042
A_flow_map,0.352,0.14299285800647837,0.08609151844239973,0.22548004895027438
A_flow_map,0.356,0.14637886217247162,0.0867288471736656,0.2316091393910349
A_flow_map,0.36,0.14980757747244783,0.08775669954482306,0.23784725249161318
A_flow_map,0.364,0.15327878219021568,0.08888325595726229,0.24419346923544574
A_flow_map,0.368,0.15679225529116958,0.08999004757126447,0.2506464622151084
A_flow_map,0.372,0.1603477832519314,0.09107621669661409,0.25720446193340757
A_flow_map,0.376,0.1639451680370578,0.09214090133694114,0.2638652242161164
A_flow_map,0.38,0.1675842363224624,0.09318323138287883,0.2706259993857989
A_flow_map,0.384,0.17126484976447018,0.09420232382352667,0.2774835039019121
A_flow_map,0.388,0.17498691563239283,0.09519727697449254,0.2844338952173561
A_flow_map,0.392,0.17875039647351296,0.09616716376261616,0.29147275063223177
A_flow_map,0.396,0.1825553167125579,0.09757054729187191,0.29859505093807753
A_flow_map,0.4,0.18640176329794375,0.09977995439408072,0.3057951696367248
A_flow_map,0.404,0.1902898768458297,0.10202237528887712,0.3130668684839164
A_flow_map,0.40800000000000003,0.19421982942624305,0.1042967404105093,0.3204033000464068
A_flow_map,0.41200000000000003,0.19819178549236455,0.10660179964867919,0.3277970178707108
A_flow_map,0.41600000000000004,0.20220584383081602,0.11077902760066335,0.3352399947414767
A_flow_map,0.42,0.2062619610812869,0.11521717514295966,0.3427236493585439
A_flow_map,0.424,0.21035986128586875,0.1197873955559485,0.3502388815865805
A_flow_map,0.428,0.21449894042514012,0.12449037799345335,0.3576989204841535
A_flow_map,0.432,0.21867817862370184,0.12932661822563019,0.3650965961706483
A_flow_map,0.436,0.2228960739646532,0.13429640479832294,0.37249809438833564
A_flow_map,0.44,0.2271506094438344,0.1393998052874012,0.37989318564302416
A_flow_map,0.444,0.23143925872015036,0.14463665275101253,0.38727138396132266
A_flow_map,0.448,0.2357590287931756,0.15000653248807883,0.39462202074044544
A_flow_map,0.452,0.2401065311763694,0.15451845302427647,0.4019343230472813
A_flow_map,0.456,0.24447806957574283,0.1556340344115483,0.4091974950724614
A_flow_map,0.46,0.24886973206262758,0.1567790764345962,0.4164008013394718
A_flow_map,0.464,0.2532774783353167,0.1579573885815708,0.42353365020671563
A_flow_map,0.468,0.25769721634928333,0.1591722439955958,0.43058567618505866
A_flow_map,0.47200000000000003,0.2621248660193748,0.1604263974255812,0.4375468196256278
A_flow_map,0.47600000000000003,0.266556410145099,0.16172211848186305,0.44440740241085025
A_flow_map,0.48,0.2709879340606802,0.16306123768973624,0.45115819840200616
A_flow_map,0.484,0.2754156559901503,0.16444520264826878,0.4577904975529549
A_flow_map,0.488,0.2798359500224503,0.16587514157097813,0.46429616278462255
A_flow_map,0.492,0.2842453632978713,0.1673519315811817,0.47066767891970634
A_flow_map,0.496,0.2886406286076803,0.16887626932710142,0.47689819319273524
A_flow_map,0.5,0.2930186732583104,0.17044874173951952,0.4829815470681208
A_flow_map,0.504,0.29737662478287774,0.17206989505040218,0.488912299309725
