model,mean_error_in_window,mean_error_beyond_window,train_seconds
linear,0.9731521667802223,1.2165928778004542,0.14671004202682525
poly2,0.9828577895959258,2.401831618517406,0.029466207954101264
forest,0.39791054589507263,1.2414274691144265,5.6155913340626284
mlp,0.3011891453919195,1.3021372592217964,181.83419520803727
