model,t,mean_error
linear,0.684,1.1066699250155343
linear,0.6880000000000001,1.1048070644043289
linear,0.6920000000000001,1.1028767450571162
linear,0.6960000000000001,1.1008817916937697
linear,0.7000000000000001,1.0988249896885383
linear,0.704,1.0967090843701297
linear,0.708,1.0945367806161084
linear,0.712,1.0923107427072627
linear,0.716,1.090033594409743
linear,0.72,1.0877079192550203
linear,0.724,1.0853362609900088
linear,0.728,1.082921124171972
linear,0.732,1.0804649748850401
linear,0.736,1.0779702415572923
linear,0.74,1.0754393158593651
linear,0.744,1.0728745536674187
linear,0.748,1.0702782760750387
linear,0.752,1.0676527704402425
linear,0.756,1.0650002914552184
linear,0.76,1.0623230622277409
linear,0.764,1.0596232753643942
linear,0.768,1.0569030940468052
linear,0.772,1.0541646530930229
linear,0.776,1.0514100599970413
linear,0.78,1.0486413959401966
linear,0.784,1.0458607167688363
linear,0.788,1.0430700539332416
linear,0.792,1.040271415383295
linear,0.796,1.03746678641685
linear,0.8,1.0346581304771463
linear,0.804,1.0318473898959923
linear,0.808,1.0290364865797443
linear,0.812,1.0262273226354022
linear,0.8160000000000001,1.0234217809344137
linear,0.8200000000000001,1.0206217256120136
linear,0.8240000000000001,1.017829002500151
linear,0.8280000000000001,1.0150454394922794
linear,0.8320000000000001,1.0122728468384783
linear,0.836,1.0095130173695805
linear,0.84,1.006767726649175
linear,0.844,1.0040387330525409
linear,0.848,1.0013277777717688
linear,0.852,0.998636584746512
linear,0.856,0.9959668605200109
linear,0.86,0.9933202940202241
linear,0.864,0.9906985562660988
linear,0.868,0.9881032999992136
linear,0.872,0.9855361592412203
linear,0.876,0.9829987487777097
linear,0.88,0.9804926635693205
linear,0.884,0.9780194780911027
linear,0.888,0.9755807456013148
linear,0.892,0.9731779973410308
linear,0.896,0.9708127416660763
linear,0.9,0.968486463112965
linear,0.904,0.9662006214006503
linear,0.908,0.9639566503700007
linear,0.912,0.9617559568630212
linear,0.916,0.9595999195438877
linear,0.92,0.9574898876639235
linear,0.924,0.9554271797726379
linear,0.928,0.9534130823769477
linear,0.932,0.9514488485506355
linear,0.936,0.9495356964960203
linear,0.9400000000000001,0.947674808059692
linear,0.9440000000000001,0.9458673272040057
linear,0.9480000000000001,0.9441143584358402
linear,0.9520000000000001,0.9424169651938943
linear,0.9560000000000001,0.9407761681955369
linear,0.96,0.9391929437439301
linear,0.964,0.9376682219958237
linear,0.968,0.9362028851900697
linear,0.972,0.9347977658365396
linear,0.976,0.9334536448647363
linear,0.98,0.9321712497310033
linear,0.984,0.9309512524828436
linear,0.988,0.929794267778467
linear,0.992,0.928700850859336
linear,0.996,0.9276714954731341
linear,1.0,0.9267066317443209
linear,1.004,0.9258066239892064
linear,1.008,0.9249717684723674
linear,1.012,0.9242022911012062
linear,1.016,0.923498345055574
linear,1.02,0.922860008349671
linear,1.024,0.9222872813239213
linear,1.028,0.9217800840652384
linear,1.032,0.9213382537550998
linear,1.036,0.9209615419461705
linear,1.04,0.9206496117698885
linear,1.044,0.9204020350795521
linear,1.048,0.9202182895360108
linear,1.052,0.9200977556461677
linear,1.056,0.9200397137681751
linear,1.06,0.9200433411015079
linear,1.064,0.9201077086850356
linear,1.068,0.9202317784318522
linear,1.072,0.9204144002359207
linear,1.076,0.9206543091925514
linear,1.08,0.9209501229822609
linear,1.084,0.9213003394755839
linear,1.088,0.9217033346247183
linear,1.092,0.9221573607162663
linear,1.096,0.9226605450674835
linear,1.1,0.9232108892559395
linear,1.104,0.9238062689788988
linear,1.108,0.9244444346434791
linear,1.112,0.9251230127911336
linear,1.116,0.9258395084596482
linear,1.12,0.9265913085819999
linear,1.124,0.9273756865136011
linear,1.1280000000000001,0.9281898077672792
linear,1.1320000000000001,0.9290307370186666
linear,1.1360000000000001,0.9298954464236855
linear,1.1400000000000001,0.9307808252650338
linear,1.1440000000000001,0.9316836909169709
linear,1.1480000000000001,0.9326008010886213
linear,1.1520000000000001,0.9335288672771099
linear,1.156,0.93446456933504
linear,1.16,0.9354045710339397
linear,1.164,0.9363455364879858
linear,1.168,0.9372841472915822
linear,1.172,0.9382171202205309
linear,1.176,0.9391412253488332
linear,1.18,0.9400533044398441
linear,1.184,0.9409502894789122
linear,1.188,0.9418292212214036
linear,1.192,0.9426872676316824
linear,1.196,0.9435217420820825
linear,1.2,0.9443301211640585
linear,1.204,0.9451100619360705
linear,1.208,0.9458594183956356
linear,1.212,0.946576256919861
linear,1.216,0.9472588703748
linear,1.22,0.9479057905557697
linear,1.224,0.9485157985953417
linear,1.228,0.9490879329697577
linear,1.232,0.9496214947533073
linear,1.236,0.9501160498166948
linear,1.24,0.9505714277396967
linear,1.244,0.950987717307419
linear,1.248,0.951365258577075
linear,1.252,0.9517046316300017
linear,1.256,0.9520066422516891
linear,1.26,0.9522723049007492
linear,1.264,0.9525028234268355
linear,1.268,0.9526995700702476
linear,1.272,0.9528640633179168
linear,1.276,0.9529979452001885
linear,1.28,0.9531029585919215
linear,1.284,0.9531809250339205
linear,1.288,0.9532337235225506
linear,1.292,0.9532632706333013
linear,1.296,0.9532715022551042
linear,1.3,0.9532603571227132
linear,1.304,0.9532317622498399
linear,1.308,0.9531876202899852
linear,1.312,0.9531297987877089
linear,1.316,0.9530601212316586
linear,1.32,0.9529803597823137
linear,1.324,0.9528922295213015
linear,1.328,0.9527973840541021
linear,1.332,0.9526974122922411
linear,1.336,0.9525938362429592
linear,1.34,0.9524881096419676
linear,1.344,0.9523816172766726
linear,1.348,0.9522756748616839
linear,1.352,0.9521715293442856
linear,1.356,0.9520703595338784
linear,1.36,0.9519732769654594
linear,1.364,0.9518813269224088
linear,1.368,0.9517954895578813
linear,1.372,0.9517166810666993
linear,1.3760000000000001,0.9516457548707568
linear,1.3800000000000001,0.9515835027905026
linear,1.3840000000000001,0.9515306561831889
linear,1.3880000000000001,0.9514878870352972
linear,1.3920000000000001,0.9514558090020676
linear,1.3960000000000001,0.9514349783914465
linear,1.4000000000000001,0.9514258950932352
linear,1.4040000000000001,0.9514290034568897
linear,1.408,0.9514446931234399
linear,1.412,0.9514732998185125
linear,1.416,0.951515106114553
linear,1.42,0.9515703421712141
linear,1.424,0.9516391864635295
linear,1.428,0.9517217665081065
linear,1.432,0.9518181595981273
linear,1.436,0.9519283935585718
linear,1.44,0.9520524475337737
linear,1.444,0.9521902528202254
linear,1.448,0.9523416937584841
linear,1.452,0.9525066086990626
linear,1.456,0.952684791058312
linear,1.46,0.9528759904814651
linear,1.464,0.9530799141311199
linear,1.468,0.9532962281204387
linear,1.472,0.9535245591110909
linear,1.476,0.9537644960963396
linear,1.48,0.9540155923895177
linear,1.484,0.9542773678373131
linear,1.488,0.9545493112755666
linear,1.492,0.954830883242592
linear,1.496,0.9551215189611101
linear,1.5,0.9554206315947338
linear,1.504,0.9557276157783766
linear,1.508,0.9560418514140405
linear,1.512,0.956362707714202
linear,1.516,0.9566895474646431
linear,1.52,0.9570217314673176
linear,1.524,0.9573586231121055
linear,1.528,0.957699593014595
linear,1.532,0.9580440236458978
linear,1.536,0.9583913138706913
linear,1.54,0.9587408833018465
linear,1.544,0.9590921763748798
linear,1.548,0.959444666043705
linear,1.552,0.959797857001296
linear,1.556,0.9601512883352037
linear,1.56,0.9605045355386135
linear,1.564,0.9608572118125434
linear,1.568,0.9612089686135376
linear,1.572,0.9615594954230888
linear,1.576,0.9619085187391597
linear,1.58,0.9622558003154504
linear,1.584,0.9626011346993788
linear,1.588,0.9629443461438804
linear,1.592,0.9632852849900037
linear,1.596,0.9636238236359645
linear,1.6,0.9639598522229921
linear,1.604,0.9642932741785541
linear,1.608,0.9646240017630063
linear,1.612,0.9649519517664537
linear,1.616,0.9652770414987335
linear,1.62,0.965599185207345
linear,1.624,0.965918291046236
linear,1.6280000000000001,0.9662342587032293
linear,1.6320000000000001,0.9665469777759478
linear,1.6360000000000001,0.9668563269660201
linear,1.6400000000000001,0.9671621741395333
linear,1.6440000000000001,0.9674643772786423
linear,1.6480000000000001,0.9677627863253753
linear,1.6520000000000001,0.9680572458944295
linear,1.6560000000000001,0.9683475988075209
linear,1.6600000000000001,0.9686336903781658
linear,1.6640000000000001,0.9689153733530862
linear,1.668,0.9691925133953493
linear,1.672,0.9694649949755234
linear,1.676,0.9697327275211736
linear,1.68,0.9699956516627181
linear,1.684,0.970253745405579
linear,1.688,0.9705070300553462
linear,1.692,0.9707555757247445
linear,1.696,0.9709995062587939
linear,1.7,0.9712390034276892
linear,1.704,0.9714743102553205
linear,1.708,0.9717057333744588
linear,1.712,0.9719336443265479
linear,1.716,0.972158479753755
linear,1.72,0.9723807404621194
linear,1.724,0.9726009893659706
linear,1.728,0.9728198483538822
linear,1.732,0.9730379941440255
linear,1.736,0.9732561532207494
linear,1.74,0.9734750959637214
linear,1.744,0.9736956300953861
linear,1.748,0.9739185935816156
linear,1.752,0.9741448471242468
linear,1.756,0.9743752663830154
linear,1.76,0.9746107340588047
linear,1.764,0.974852131960731
linear,1.768,0.9751003331673072
linear,1.772,0.9753561943775171
linear,1.776,0.9756205485319966
linear,1.78,0.9758941977683971
linear,1.784,0.9761779067591094
linear,1.788,0.9764723964644124
linear,1.792,0.9767783383202404
linear,1.796,0.9770963488674551
linear,1.8,0.9774269848189803
linear,1.804,0.977770738552531
linear,1.808,0.9781280340099523
linear,1.812,0.9784992229793426
linear,1.816,0.9788845817331184
linear,1.82,0.9792843079937923
linear,1.824,0.9796985181994169
linear,1.828,0.9801272450422017
linear,1.832,0.9805704352565833
linear,1.836,0.981027947636923
linear,1.84,0.9814995512698246
linear,1.844,0.9819849239717057
linear,1.848,0.9824836509286043
linear,1.852,0.9829952235420827
linear,1.856,0.9835190384924077
linear,1.86,0.9840543970377695
linear,1.864,0.9846005045759483
linear,1.868,0.9851564705023825
linear,1.872,0.9857213084057058
linear,1.8760000000000001,0.9862939366482542
linear,1.8800000000000001,0.9868731793843804
linear,1.8840000000000001,0.9874577680732017
linear,1.8880000000000001,0.9880463435442426
linear,1.8920000000000001,0.9886374586736478
linear,1.8960000000000001,0.9892295817248126
linear,1.9000000000000001,0.9898211003997982
linear,1.9040000000000001,0.9904103266363494
linear,1.9080000000000001,0.990995502169388
linear,1.9120000000000001,0.9915748048554633
linear,1.9160000000000001,0.9921463557339809
linear,1.92,0.9927082267707871
linear,1.924,0.9932584491988864
linear,1.928,0.9937950223393817
linear,1.932,0.9943159227551455
linear,1.936,0.994819113562877
linear,1.94,0.995302553708725
linear,1.944,0.9957642070014664
linear,1.948,0.9962020506978216
linear,1.952,0.9966140834488154
linear,1.956,0.9969983324451978
linear,1.96,0.9973528596436134
linear,1.964,0.9976757670118378
linear,1.968,0.9979652007979993
linear,1.972,0.9982193549009274
linear,1.976,0.9984364734913639
linear,1.98,0.9986148531009469
linear,1.984,0.9987528444519029
linear,1.988,0.9988488543401204
linear,1.992,0.9989013479037678
linear,1.996,0.998908851606293
linear,2.0,0.9988699572357461
linear,2.004,0.998783327172865
linear,2.008,0.9986477011107805
linear,2.012,0.9984619043235167
linear,2.016,0.9982248574835783
linear,2.02,0.9979355879264371
linear,2.024,0.9975932421573994
linear,2.028,0.9971970992999593
linear,2.032,0.9967465850995735
linear,2.036,0.9962412860276263
linear,2.04,0.9956809629811556
linear,2.044,0.9950655640477735
linear,2.048,0.9943952358042722
linear,2.052,0.9936703326426886
linear,2.056,0.9928914236689466
linear,2.06,0.9920592967951066
linear,2.064,0.991174959743802
linear,2.068,0.9902396377981695
linear,2.072,0.9892547682566514
linear,2.076,0.9882219916823598
linear,2.08,0.9871431401634974
linear,2.084,0.9860202229166649
linear,2.088,0.984855409661509
linear,2.092,0.9836510122671733
linear,2.096,0.9824094652145053
linear,2.1,0.9811333054315113
linear,2.104,0.9798251520441419
linear,2.108,0.9784876865434089
linear,2.112,0.9771236338081852
linear,2.116,0.9757357443468964
linear,2.12,0.9743267780372526
linear,2.124,0.9728994895573443
linear,2.128,0.9714566156192062
linear,2.132,0.970000864041513
linear,2.136,0.9685349046342161
linear,2.14,0.9670613618162094
linear,2.144,0.9655828088478472
linear,2.148,0.9641017635327825
linear,2.152,0.9626206852269068
linear,2.156,0.9611419729845295
linear,2.16,0.9596679646715295
linear,2.164,0.958200936880283
linear,2.168,0.9567431054900558
linear,2.172,0.9552966267278832
linear,2.176,0.9538635985975876
linear,2.18,0.9524460625576809
linear,2.184,0.951046005341885
linear,2.188,0.9496653608285184
linear,2.192,0.9483060118769073
linear,2.196,0.9469697920602214
linear,2.2,0.9456584872348207
linear,2.204,0.944373836896405
linear,2.208,0.9431175352831165
linear,2.212,0.9418912321953957
linear,2.216,0.9406965335118205
linear,2.22,0.9395350013894632
linear,2.224,0.9384081541463798
linear,2.228,0.9373174658326271
linear,2.232,0.9362643655045314
linear,2.236,0.9352502362246635
linear,2.24,0.9342764138168789
linear,2.244,0.9333441854117156
linear,2.248,0.9324547878222074
linear,2.2520000000000002,0.9316094057936354
linear,2.2560000000000002,0.9308091701728148
linear,2.2600000000000002,0.9300551560431464
linear,2.2640000000000002,0.9293483808708647
linear,2.2680000000000002,0.9286898027057578
linear,2.2720000000000002,0.9280803184762372
linear,2.2760000000000002,0.927520762414178
linear,2.2800000000000002,0.9270119046396413
linear,2.2840000000000003,0.9265544499296746
linear,2.2880000000000003,0.9261490366891207
linear,2.2920000000000003,0.9257962361350437
linear,2.2960000000000003,0.9254965517002107
linear,2.3000000000000003,0.9252504186553635
linear,2.3040000000000003,0.9250582039448949
