model,n_train,rmse_x_mean,rmse_x_std,rmse_y_mean,rmse_y_std
forest,100,16.366164764179196,2.344227278436637,13.26637329630174,1.1075994838500134
forest,500,8.952692357123633,1.2254117654755377,7.823580948047469,0.3935805497415028
forest,1000,5.328531152791536,0.38325756871142114,6.276923404441616,0.26774751269596747
forest,5000,2.8466885792363343,0.08635375045021321,4.090661155560268,0.10882120006172073
forest,10000,2.0489938948360398,0.02165631613502115,3.3823216139068735,0.03817250682659555
linear,100,21.1383342715328,0.23870664712057832,15.34665803976876,1.0137692743000977
linear,500,20.868472543716678,0.16162722283840517,14.549230951551612,0.08993727090412616
linear,1000,20.758221533389076,0.06847010814797078,14.516206255580304,0.05524103651587674
linear,5000,20.685080523814882,0.012582338150183585,14.446246037046857,0.0065937665880978595
linear,10000,20.688391613862553,0.0060595314860871045,14.442175082849957,0.003925120720957824
