n_train,mean_error,q25_error,q75_error
100,14.847810477887066,6.726580978912293,20.304758636947405
500,6.278614212557631,3.5856764242250936,8.531810500849401
1000,5.102959302921351,3.0670450851196773,6.704456948767933
5000,2.9957766880167496,1.7088890274257784,4.2272007873385
10000,2.5024053426028585,1.464366930197564,3.4506594613777555
