t,position_error,velocity_error,energy,energy_rel_error,ang_mom_rel_error,radius,radius_true,model,predicted_x,predicted_y,predicted_vx,predicted_vy,truth_x,truth_y,truth_vx,truth_vy
0.0,0.0,0.0,-18.750149632983685,0.0,0.0,1.1705554002218517,1.1705554002218517,linear,1.1705554002218517,0.0,0.0,5.472856248858246,1.1705554002218517,0.0,0.0,5.472856248858246
0.004,6.0713190313297205e-05,0.030356518331811688,-18.75319536397147,0.00016243768969332651,0.000123593081450213,1.1704688943912487,1.1705296074086908,linear,1.1702642082906152,0.021888707851575102,-0.145584937965152,5.47081842984205,1.1703249079813436,0.02188998809510399,-0.11524360758296968,5.471778573513007
0.008,0.0002428241369677697,0.060708920082183405,-18.7621712394688,0.0006411472292448335,0.0004888355118705583,1.170209414070834,1.1704522357178782,linear,1.1693908808959153,0.0437611752296425,-0.291046380571933,5.464736720297928,1.169633491567935,0.04377135478347823,-0.2304570594366255,5.468545544513813
0.012,0.0005462593128450469,0.09105812164752508,-18.777080691207242,0.0014363116428778814,0.001095410324716591,1.1697770580349316,1.1703233053999127,linear,1.1679361468913059,0.06560123695136759,-0.4362669285563041,5.454616929797532,1.1684813319460896,0.06563547863518128,-0.3456101797739872,5.463157153342344
0.016,0.0009709095837773071,0.12140502105188583,-18.797929740483692,0.0025482520638638456,0.0019428131607726784,1.169171977231336,1.1701428502205848,linear,1.1659012042827883,0.08739275825247647,-0.5811294263083883,5.440468456576657,1.1668687308569572,0.08747373817682605,-0.46067275269585617,5.455613387042418
0.02,0.0015166301533840387,0.15175048574077718,-18.824727011407667,0.003977428441039817,0.003030352908225443,1.1683943748091334,1.1699109174834248,linear,1.1632877190363784,0.10911964912317984,-0.7255170707146434,5.4223042775625485,1.1647961110189258,0.10927751187730662,-0.5756145021425745,5.445914230083847
0.024,0.0021832404747692538,0.18209534059221366,-18.85748375034821,0.005724440575967997,0.004357152569904712,1.1674445061676846,1.169627568061111,linear,1.1600978234510204,0.13076587859726335,-0.8693135196210704,5.400140934932177,1.162264016408341,0.1310381781424796,-0.690405071855458,5.434059666976483
0.028,0.0029705241304474306,0.21244035622171073,-18.896213851506836,0.007790029486815763,0.005922150356230834,1.1663226790264805,1.1692928764358548,linear,1.1563341140985761,0.1523154889804964,-1.01240299981045,5.373998519216073,1.1592731126203613,0.15274711532180937,-0.805014005351516,5.420049685639081
0.032,0.003878228681177394,0.2427862376562701,-18.94093388852232,0.010175079093930159,0.007724101002035923,1.1650292535154931,1.1689069307487372,linear,1.1519996493330475,0.17375261000457665,-1.1546704143871327,5.343900648965808,1.155824187309874,0.1743957017300086,-0.9194107259154027,5.403884281528962
0.036000000000000004,0.004906065484564178,0.2731336134502404,-18.99166315199374,0.01288061822105171,0.009761577305075571,1.1635646422855608,1.1684698328580023,linear,1.1470979463716144,0.19506147289290637,-1.296001449463538,5.30987444700664,1.1519181507124083,0.19597531568673018,-1.0335645166129674,5.385563462539745
0.04,0.006053709484426745,0.3034830253134088,-19.04842369278811,0.015907822905035656,0.012032971883682788,1.1619293106382607,1.1679816984062896,linear,1.1416329779504908,0.21622642432459033,-1.4362826800432618,5.2719505133002595,1.1475560362449388,0.217477335577401,-1.1474445003312734,5.365087254675746
