system,offset,t_normalised,relative_separation,amplification
projectile,1e-10,0.21553884711779447,3.048181605829251e-11,0.3048181605829251
projectile,1e-10,0.21804511278195488,3.083624281631604e-11,0.30836242816316034
projectile,1e-10,0.2205513784461153,3.119072025016999e-11,0.3119072025016999
projectile,1e-10,0.22305764411027568,3.1545121670288476e-11,0.31545121670288473
projectile,1e-10,0.22556390977443608,3.189957376621704e-11,0.3189957376621704
projectile,1e-10,0.22807017543859648,3.2254000524240564e-11,0.3225400052424056
projectile,1e-10,0.2305764411027569,3.260845262018914e-11,0.32608452620189143
projectile,1e-10,0.23308270676691728,3.2962879378212563e-11,0.3296287937821256
projectile,1e-10,0.23558897243107768,3.331733147414157e-11,0.33317331474141565
projectile,1e-10,0.23809523809523808,3.3671758232165085e-11,0.33671758232165083
projectile,1e-10,0.2406015037593985,3.402621032811326e-11,0.3402621032811326
projectile,1e-10,0.24310776942355888,3.438068776196711e-11,0.34380687761967116
projectile,1e-10,0.24561403508771928,3.4735114519990547e-11,0.34735114519990545
projectile,1e-10,0.2481203007518797,3.508956661592004e-11,0.3508956661592004
projectile,1e-10,0.2506265664160401,3.5443993373943566e-11,0.35443993373943566
projectile,1e-10,0.2531328320802005,3.579842013196709e-11,0.3579842013196709
projectile,1e-10,0.2556390977443609,3.615287222791471e-11,0.3615287222791471
projectile,1e-10,0.25814536340852134,3.650727364801414e-11,0.3650727364801414
projectile,1e-10,0.2606516290726817,3.6861700406037664e-11,0.3686170040603766
projectile,1e-10,0.2631578947368421,3.721615250198503e-11,0.3721615250198503
projectile,1e-10,0.2656641604010025,3.7570629935838897e-11,0.375706299358389
projectile,1e-10,0.26817042606516295,3.7925082031769096e-11,0.3792508203176909
projectile,1e-10,0.2706766917293233,3.827950878979262e-11,0.3827950878979262
projectile,1e-10,0.2731829573934837,3.8633935547816145e-11,0.38633935547816145
projectile,1e-10,0.2756892230576441,3.8988387643763114e-11,0.38988387643763117
projectile,1e-10,0.27819548872180455,3.9342789063863194e-11,0.3934278906386319
projectile,1e-10,0.2807017543859649,3.969721582188671e-11,0.39697215821886717
projectile,1e-10,0.2832080200501253,4.005171859366389e-11,0.40051718593663893
projectile,1e-10,0.2857142857142857,4.040614535168735e-11,0.4040614535168735
projectile,1e-10,0.28822055137844615,4.076059744761815e-11,0.40760597447618147
projectile,1e-10,0.2907268170426065,4.111502420564167e-11,0.4111502420564167
