model,label,mean_radial_error,residual_x,residual_y
linear,Linear Regression,10.690923600985782,2.87347923233483e-11,9.81000000000032
poly2,Polynomial Ridge (deg 2),1.8573519638858977,0.23874568904576066,0.33162611733506603
forest,Random Forest,2.651454344730793,2015.7944063620535,1494.8864650817434
mlp,Neural Network (MLP),0.14593961008792797,1.648125478886108,1.698678985174019
physics,Physics-Informed Features (hard),1.2642942048353915e-13,4.928584016600235e-11,6.456593482084827e-11
pinn,"PINN (data + physics, soft)",0.8576678607901307,0.2066445610641468,0.21006281667515328
plain_nn,"Plain NN (same net, data only)",12.415036419720712,5.425721123630443,9.655386480494453
