model,mode,mean_position_error,median_position_error,p95_position_error,mean_velocity_error,train_seconds
linear,absolute,5.258163570434469e-05,4.305610241913788e-05,0.00013419296507839046,0.026291905405030395,0.0197396669536829
linear,delta,5.2581635704355425e-05,4.3056102419214415e-05,0.00013419296507843087,0.026291905405030347,0.0030176250729709864
poly2,absolute,3.202963185355964e-05,2.507490806017834e-05,8.71572501665381e-05,0.016014904372184963,0.02237412496469915
poly2,delta,3.202962839938107e-05,2.507504391916404e-05,8.715735081471177e-05,0.01601490437558125,0.013477499946020544
forest,absolute,0.024987158658554224,0.016275051912642745,0.07928963578110679,0.028860980498060188,7.818229667027481
forest,delta,0.0008691451901083651,0.0005569543792873293,0.002676103738264525,0.0017347507809289868,8.947112874942832
mlp,absolute,0.001799883124726468,0.001696050682472577,0.0036021852087621295,0.010165472551868466,120.07825508306269
mlp,delta,6.447617773492851e-05,5.463201810170758e-05,0.00014468058705265682,0.0005587530664432999,104.98628912505228
