model,orbit,final_error,escaped,escape_time,growth_rate,e_folding_time,decade_time,r_squared,horizon_0.001,horizon_0.01,horizon_0.1
mlp,2,0.2382186900123747,False,inf,0.997831897312734,1.0021728135702064,2.3075881811306584,0.5883908665354118,0.039585933004184636,0.33823361214517933,0.9757661343608506
mlp,3,1.0815578519309708,False,inf,1.2342393394158064,0.8102156267951423,1.865590424369322,0.7041055304877104,0.0412556282459899,0.4809604104325156,0.9704382224248466
mlp,4,4.987563635204221,False,inf,1.373752463831051,0.7279331803425858,1.6761280897525845,0.881116889395625,0.031352321471116204,0.4512716162604549,1.1602009105894655
mlp,5,1.0363661613238455,False,inf,1.1088332242005938,0.9018488787806151,2.076583784413639,0.7362186360800311,0.03878364730067244,0.31860234387206554,0.9184804724978579
mlp,6,0.6476113634057273,False,inf,0.7573016388404451,1.3204777973690465,3.0405124918515787,0.3786091173873426,0.03652166996804443,0.3468927137227973,0.7107713111895354
mlp,7,1.141559518899326,False,inf,1.1214377451181359,0.8917124506939588,2.0532437962050976,0.7490853977532899,0.03881435120010943,0.31944952493464207,0.9363207051685639
mlp,8,1.5971210295780036,False,inf,1.1583452716284355,0.8633004549620779,1.9878227583706582,0.7590324677965685,0.039711091368910684,0.3451681160195705,0.986102955420067
mlp,9,1.2278538622993218,False,inf,1.0884353497182997,0.9187500206225497,2.1155001016734554,0.7660453884270318,0.03286244275797804,0.2643255348013824,0.9095507044920655
mlp,10,1.3717885875538496,False,inf,1.0935413075189644,0.9144601974559227,2.1056224187983994,0.6552415127138485,0.039832787611280424,0.40648005217703503,1.0110752581715305
mlp,11,1.9926330797163243,False,inf,1.269181018177378,0.7879096722042547,1.814229065843342,0.8175109497811666,0.03908379700462577,0.39918797800088235,1.0331586175739302
mlp,12,0.3859403095762948,False,inf,0.9259488276915324,1.0799732880412878,2.486730393875634,0.5364896493592468,0.03760630335611537,0.3490832214568493,0.7441729593795012
mlp,13,2.1548290969637733,False,inf,1.2711837382220588,0.7866683390700467,1.8113707906730752,0.8185514295546059,0.03966816999276635,0.39171409457383183,1.0229671262980584
mlp,14,1.0631909033522255,False,inf,0.6879448374505851,1.453604919408716,3.347049018533321,0.325929285509464,0.034954154687620344,0.3410157519763364,0.6648306245259211
mlp,15,0.7516135378489458,False,inf,1.1726780211088284,0.8527489916238455,1.9635271161787713,0.7227686548463284,0.04088933830882563,0.39122434219613345,0.9798739751410002
mlp,16,7.473437718415648,False,inf,1.4121564238537898,0.708136848799646,1.6305453518458435,0.8798144934857238,0.031118663171589712,0.43724235446813087,1.1237716892618068
mlp,17,0.45792784792286245,False,inf,1.1890407502327132,0.8410140693700237,1.9365064591296768,0.6488218820491883,0.04316086652828026,0.5428159836819677,0.974794379299863
mlp,18,1.0781106664045796,False,inf,1.1212269581340868,0.8918800897047381,2.0536297992923225,0.6322644415204006,0.047854115869352815,0.4391108635918302,0.9399785591196401
mlp,19,0.3072256513300274,False,inf,0.9698710713349469,1.0310648802253513,2.374114623116585,0.600160608124894,0.034364153570298095,0.28396235099309974,0.9559811719669504
