a,T_theory,T_measured,rel_error
0.4,0.2529822128134704,0.25298221281343375,1.4482188057878888e-13
0.7,0.5856620185738528,0.5856620185737724,1.3724664470917075e-13
1.0,1.0,0.9999999999998569,1.4310774787418268e-13
1.5,1.8371173070873834,1.8371173070871152,1.460058547783739e-13
2.0,2.82842712474619,2.828427124745776,1.4633261714932786e-13
3.0,5.196152422706632,5.19615242270593,1.3503471308826804e-13
5.0,11.180339887498949,11.180339887497345,1.4347061378446639e-13
