system,model,t_normalised,relative_error
projectile,linear,0.36180904522613067,5.027359300567626e-16
projectile,linear,0.36683417085427134,5.067171668832709e-16
projectile,linear,0.37185929648241206,5.1435782058621855e-16
projectile,linear,0.3768844221105528,5.174467855395915e-16
projectile,linear,0.38190954773869346,5.350081740521864e-16
projectile,linear,0.3869346733668342,5.40107164640388e-16
projectile,linear,0.3919597989949749,5.569683355493232e-16
projectile,linear,0.3969849246231156,5.666314855344727e-16
projectile,linear,0.4020100502512563,5.707599318853286e-16
projectile,linear,0.40703517587939697,5.827222540356967e-16
projectile,linear,0.4120603015075377,5.862065572582606e-16
projectile,linear,0.4170854271356784,6.00288039321038e-16
projectile,linear,0.4221105527638191,6.1495310866301615e-16
projectile,linear,0.4271356783919598,6.205782579117647e-16
projectile,linear,0.4321608040201005,6.317280812650156e-16
projectile,linear,0.4371859296482412,6.406200605172209e-16
projectile,linear,0.44221105527638194,6.450700273009024e-16
projectile,linear,0.4472361809045226,6.619660483239722e-16
projectile,linear,0.45226130653266333,6.619764315356076e-16
projectile,linear,0.457286432160804,6.775777777478213e-16
projectile,linear,0.4623115577889447,6.954483504420309e-16
projectile,linear,0.46733668341708545,6.975336372760405e-16
projectile,linear,0.4723618090452261,7.291398291801505e-16
projectile,linear,0.47738693467336685,7.357945618369778e-16
projectile,linear,0.4824120603015075,7.542972329315513e-16
projectile,linear,0.48743718592964824,7.748857507720989e-16
projectile,linear,0.49246231155778897,7.940162855855566e-16
projectile,linear,0.49748743718592964,8.046661259081688e-16
projectile,linear,0.5025125628140703,8.256981728436692e-16
projectile,linear,0.507537688442211,8.19302066737119e-16
projectile,linear,0.5125628140703518,8.385261888579049e-16
projectile,linear,0.5175879396984925,8.524514095539605e-16
projectile,linear,0.5226130653266332,8.70791467836557e-16
projectile,linear,0.5276381909547738,8.873386184620483e-16
projectile,linear,0.5326633165829145,8.944379278980497e-16
projectile,linear,0.5376884422110553,9.166602446026184e-16
projectile,linear,0.542713567839196,9.379546067535295e-16
projectile,linear,0.5477386934673367,9.645319956094266e-16
projectile,linear,0.5527638190954774,9.695341911604886e-16
projectile,linear,0.5577889447236181,9.81975406132114e-16
projectile,linear,0.5628140703517588,1.0033134066888042e-15
projectile,linear,0.5678391959798995,1.017077009126596e-15
projectile,linear,0.5728643216080402,1.0294717516540881e-15
projectile,linear,0.577889447236181,1.0433464593252322e-15
projectile,linear,0.5829145728643216,1.0416409568651574e-15
projectile,linear,0.5879396984924623,1.0800891813436383e-15
projectile,linear,0.592964824120603,1.0951632626439587e-15
projectile,linear,0.5979899497487438,1.1275526994442154e-15
projectile,linear,0.6030150753768845,1.1486794242241635e-15
projectile,linear,0.6080402010050251,1.1740431922790028e-15
projectile,linear,0.6130653266331658,1.2001014662921881e-15
projectile,linear,0.6180904522613065,1.206489078016999e-15
projectile,linear,0.6231155778894473,1.2415101885350292e-15
projectile,linear,0.628140703517588,1.2450054738973067e-15
projectile,linear,0.6331658291457286,1.2766646515277444e-15
projectile,linear,0.6381909547738693,1.2906642346021362e-15
projectile,linear,0.6432160804020101,1.3137984832384843e-15
projectile,linear,0.6482412060301508,1.3315526827026044e-15
projectile,linear,0.6532663316582915,1.3592314853517648e-15
projectile,linear,0.6582914572864321,1.3810359198760792e-15
projectile,linear,0.6633165829145728,1.418497776750348e-15
projectile,linear,0.6683417085427136,1.434465588023053e-15
projectile,linear,0.6733668341708543,1.4746423568004707e-15
projectile,linear,0.678391959798995,1.4791926734911396e-15
projectile,linear,0.6834170854271356,1.5208700555137466e-15
projectile,linear,0.6884422110552764,1.5309662184534853e-15
projectile,linear,0.6934673366834171,1.5546253250731923e-15
projectile,linear,0.6984924623115578,1.57336820662737e-15
projectile,linear,0.7035175879396985,1.5971577260651663e-15
projectile,linear,0.7085427135678392,1.6401948986715693e-15
projectile,linear,0.7135678391959799,1.658687883750727e-15
projectile,linear,0.7185929648241206,1.6926866637738054e-15
