model,t,mean,median,q25,q75,escaped_fraction
linear,0.312,0.24873697832879724,0.27227337735722273,0.20706562459152297,0.3000465694565115,0.0
linear,0.316,0.2548625520862927,0.2777020894083156,0.2118933922685987,0.3076614287534829,0.0
linear,0.32,0.2610281389415877,0.28309965613270727,0.2167607965748179,0.31454308270480047,0.0
linear,0.324,0.2672310523320391,0.288461989442006,0.22166733162652927,0.3205872981031692,0.0
linear,0.328,0.27346850804133543,0.2937850275099707,0.22661249550887633,0.32659605984999074,0.0
linear,0.332,0.27973762356295484,0.299064744005599,0.23159578914503745,0.3325654984026436,0.0
linear,0.336,0.28603541844688507,0.30429715758285736,0.23661671504524057,0.33849180802299994,0.0
linear,0.34,0.29235881586119294,0.30947834159924104,0.2416747759401456,0.3443712542911412,0.0
linear,0.34400000000000003,0.2987046456134269,0.3146044340316265,0.24676947330484983,0.35020018151580773,0.0
linear,0.34800000000000003,0.3050696488829122,0.31967164755411887,0.25190030578151273,0.35597502001296455,0.0
linear,0.352,0.3114504849114359,0.32467627973884416,0.2570667675104292,0.36169229322357355,0.0
linear,0.356,0.31784373988429615,0.3296147233369473,0.26251264360762544,0.3673486246415361,0.0
linear,0.36,0.3242459382040502,0.3344834765935012,0.26823625561398085,0.3729407445228089,0.0
linear,0.364,0.33065355631379023,0.3392791535466711,0.2740206373184457,0.3784654963469064,0.0
linear,0.368,0.3370630391643244,0.3439984942583908,0.2798663446741647,0.3839198430024202,0.0
linear,0.372,0.34347081934008616,0.34863837492104466,0.2857739721673919,0.38930087266877633,0.0
linear,0.376,0.34987333876302934,0.3531212544472593,0.2917441513638659,0.3946058043672575,0.0
linear,0.38,0.35626707278464,0.3573073668370865,0.29777754915178367,0.39983199315531875,0.0
linear,0.384,0.3626485563575574,0.36138008439154545,0.3038748656654683,0.4049769349394329,0.0
linear,0.388,0.36901441185565986,0.36587869200607814,0.31003683187309766,0.41003827088311134,0.0
linear,0.392,0.37536137799174235,0.3705471264250356,0.3162642068109769,0.41501379138835653,0.0
linear,0.396,0.38168633917295525,0.37512159797758626,0.3225577744457796,0.4199014396306025,0.0
linear,0.4,0.38798635454427455,0.37959925144312945,0.3289183401449616,0.42469931462918614,0.0
linear,0.404,0.39425868590747154,0.3839774638957021,0.3353467267341635,0.4294056738375495,0.0
linear,0.40800000000000003,0.4005008236742359,0.38825385766154497,0.3418437701188949,0.43401893523969115,0.0
linear,0.41200000000000003,0.40671051002234576,0.3924263123506957,0.3467672029347902,0.43853767894184403,0.0
linear,0.41600000000000004,0.4128857584754472,0.3964929758180048,0.35527689797534195,0.44296064825094006,0.0
linear,0.42,0.4190248692194736,0.400452273914787,0.36623293811717195,0.44728675023411424,0.0
linear,0.424,0.42512643959807483,0.4043029189010168,0.36963643515888733,0.4515150557562645,0.0
linear,0.428,0.4311893693887517,0.40890574978101835,0.3724777422064466,0.45564479899552185,0.0
linear,0.432,0.4372128606413832,0.41739893625534075,0.37647251029377676,0.4596753764393381,0.0
linear,0.436,0.4431964120506997,0.42598464485195997,0.3813026851818146,0.4636063453667783,0.0
linear,0.44,0.44913980802273984,0.4346612815320768,0.3861059082101788,0.4674374218254499,0.0
linear,0.444,0.4550431027718574,0.4434269587764516,0.3908815434969638,0.47162671559537017,0.0
linear,0.448,0.46090659994034217,0.4488019253924538,0.3956290315555111,0.47630915512503513,0.0
linear,0.452,0.46673082836032503,0.45613473243211333,0.4003478902969939,0.4879917237734874,0.0
linear,0.456,0.4725165146729752,0.4635577527791306,0.40446814495834427,0.5006934093324695,0.0
linear,0.46,0.47826455358111514,0.4689990557728011,0.40734702401806266,0.5135811917124422,0.0
linear,0.464,0.48397597653857194,0.472646042128694,0.4126638960386439,0.5252511767927385,0.0
linear,0.468,0.48965191967487404,0.4759815725091773,0.4180106800630658,0.532771001416463,0.0
linear,0.47200000000000003,0.4952935917206759,0.47867094743760996,0.42338797745718515,0.5403013140178087,0.0
linear,0.47600000000000003,0.5009022426418042,0.4812572590437701,0.42973762447533503,0.5478392341666426,0.0
linear,0.48,0.5064791336129341,0.48374208822525255,0.43413352065043653,0.5553817074248693,0.0
linear,0.484,0.5120255088707352,0.48612717502673713,0.4368239133133134,0.563759265234122,0.0
linear,0.488,0.5175425698861493,0.4884144110660265,0.43944162140151577,0.575219176121741,0.0
linear,0.492,0.5230314521914089,0.49060583148515274,0.4419895439583291,0.5868869734276612,0.0
linear,0.496,0.5284932050943305,0.49489291632711874,0.4444707018868591,0.5987619736555917,0.0
linear,0.5,0.5339287744146615,0.5027233893067111,0.44688821960569053,0.6108426912685646,0.0
linear,0.504,0.5393389882884237,0.5060967119640896,0.44924530674793217,0.6176136719457375,0.0
linear,0.508,0.5447245460089737,0.5087180649555234,0.4516429665135843,0.6239330510595732,0.0
